ID,Тип,Артикул,Ім'я,Опубліковано,Рекомендовано?,Видимість в каталозі,Короткий опис,Опис,Початок акції,Завершення акції,Статус податку,Клас податку,В наявності?,Запас,Низька кількість запасів,Дозволити резервування?,Продавати окремо?,Вага (kg),Довжина (cm),Ширина (cm),Висота (cm),Дозволити відгуки?,Примітка до покупки,Ціна зі знижкою,Звичайна ціна,Категорії,Позначки,Клас доставки,Зображення,Ліміт завантажень,Число днів до закінчення Завантаження,Предок,Згруповані товари,Над продажі,Супутні товари,Зовнішній URL,Текст кнопки,Положення,Назва 1 атрибуту,1 значення атрибуту,Атрибут 1 видимий,Атрибут 1 глобальний,Назва 2 атрибуту,2 значення атрибуту,Атрибут 2 видимий,Атрибут 2 глобальний,Мета ідентифікатор :ocean_sidebar,Мета ідентифікатор :ocean_second_sidebar,Мета ідентифікатор :ocean_disable_margins,Мета ідентифікатор :ocean_display_top_bar,Мета ідентифікатор :ocean_display_header,Мета ідентифікатор :ocean_center_header_left_menu,Мета ідентифікатор :ocean_custom_header_template,Мета ідентифікатор :ocean_header_custom_menu,Мета ідентифікатор :ocean_menu_typo_font_family,Мета ідентифікатор :ocean_disable_title,Мета ідентифікатор :ocean_disable_heading,Мета ідентифікатор :ocean_disable_breadcrumbs,Мета ідентифікатор :ocean_display_footer_widgets,Мета ідентифікатор :ocean_display_footer_bottom,Мета ідентифікатор :ocean_custom_footer_template,Мета ідентифікатор :_wpml_media_featured,Мета ідентифікатор :_wc_product_documents_title,Мета ідентифікатор :_wc_product_documents_display,Мета ідентифікатор :_wpml_word_count,Мета ідентифікатор :_yoast_wpseo_primary_product_cat,Мета ідентифікатор :osh_disable_topbar_sticky,Мета ідентифікатор :osh_disable_header_sticky,Мета ідентифікатор :osh_sticky_header_style,Мета ідентифікатор :_wpml_media_duplicate,Мета ідентифікатор :_yoast_wpseo_focuskw,Мета ідентифікатор :_yoast_wpseo_linkdex,Мета ідентифікатор :_yoast_wpseo_content_score,Мета ідентифікатор :_yoast_wpseo_focuskeywords,Мета ідентифікатор :_yoast_wpseo_keywordsynonyms,Мета ідентифікатор :_wpml_media_has_media,Мета ідентифікатор :wbcr_wp_old_slug,Мета ідентифікатор :_wp_old_date,Мета ідентифікатор :_oembed_533515a706e016a9bb304a9772c907bb,Мета ідентифікатор :_oembed_time_533515a706e016a9bb304a9772c907bb,Атрибут 2 за замовчуванням,Мета ідентифікатор :_oembed_bfb8e4d53f7029a37bc2ec572bb20b50,Мета ідентифікатор :_oembed_time_bfb8e4d53f7029a37bc2ec572bb20b50,Мета ідентифікатор :ocean_post_title_style,Мета ідентифікатор :ocean_post_title_background,Мета ідентифікатор :ocean_post_title_bg_image_repeat,Мета ідентифікатор :ocean_post_title_bg_image_size,Мета ідентифікатор :ocean_post_title_bg_overlay,Мета ідентифікатор :ocean_post_title_bg_image_position,Мета ідентифікатор :_oembed_cf5fdf2a60f830e751fd1e288dbafa69,Мета ідентифікатор :_oembed_time_cf5fdf2a60f830e751fd1e288dbafa69,Назва 3 атрибуту,3 значення атрибуту,Атрибут 3 видимий,Атрибут 3 глобальний,Атрибут 3 за замовчуванням,Мета ідентифікатор :_oembed_86593aa9e750ff0f36a65e39973ef073,Мета ідентифікатор :_oembed_time_86593aa9e750ff0f36a65e39973ef073,Мета ідентифікатор :_oembed_b33ae0ea6d4e6f2962235e24f863946f,Мета ідентифікатор :_oembed_time_b33ae0ea6d4e6f2962235e24f863946f,Мета ідентифікатор :_oembed_86ffc6ca0f8f231f0b249032a7f5b2c7,Мета ідентифікатор :_oembed_time_86ffc6ca0f8f231f0b249032a7f5b2c7
636,simple,POM2,Дозуючий насос для пасти - металевий,1,0,visible,<strong>5 мл</strong>,"- насос, встановлений на каністрі з пастою для миття рук
\n
\n- ідеально дозує виміряну порцію пасти (5 мл при повному натисканні)",,,taxable,,1,,,0,0,,,,,1,,,370.98,"Серветки та дозатори > Дозатори, Промисловість > Пасти для миття рук, Промисловість, Серветки та дозатори",,,https://www.pro-chem.com.ua/wp-content/uploads/2019/08/Дозуючий-насос-для-пасти-металевий.jpg,,,,,,,,,0,,,,,,,,,0,0,enable,default,default,0,0,0,0,default,default,default,default,default,0,,,,,,,,,1,,,,,,1,%d0%b4%d0%be%d0%b7%d1%83%d1%8e%d1%87%d0%b8%d0%b9-%d0%bd%d0%b0%d1%81%d0%be%d1%81-%d0%b4%d0%bb%d1%8f-%d0%bf%d0%b0%d1%81%d1%82%d0%b8-%d0%bc%d0%b5%d1%82%d0%b0%d0%bb%d0%b5%d0%b2%d0%b8%d0%b9,,,,,,,,,,,,,,,,,,,,,,,,,
638,simple,UK,Тримач для каністри,1,0,visible,<strong>Для каністер 5 і 6 л</strong>,,,,taxable,,1,,,0,0,,,,,1,,,222,"Серветки та дозатори, Серветки та дозатори > Стенди",,,https://www.pro-chem.com.ua/wp-content/uploads/2019/08/Тримач-для-каністри.jpg,,,,,,,,,0,,,,,,,,,0,0,enable,default,default,0,0,0,0,default,default,default,default,default,0,,,,,,,,,1,,,,,,1,%d1%82%d1%80%d0%b8%d0%bc%d0%b0%d1%87-%d0%b4%d0%bb%d1%8f-%d0%ba%d0%b0%d0%bd%d1%96%d1%81%d1%82%d1%80%d0%b8,,,,,,,,,,,,,,,,,,,,,,,,,
640,variable,PC021,TRUCK URBAN,1,0,visible,"<strong>Висококонцентрований засіб для очищення вантажних автомобілів</strong>
\nДвофазний, висококонцентрований препарат для безконтактного миття комерційних ТЗ. Ідеально підходить для миття автобусів, трамваїв, залізничних вагонів тощо. 
\nВидаляє навіть стійкий бруд, залишаючись безпечним для кузова та лаку транспортного засобу. ","<strong>TRUCK URBAN</strong>  це двофазний, висококонцентрований препарат для безконтактного миття комерційних транспортних засобів.
\n
\nІдеально підходить для миття автобусів, трамваїв, вагонів або вантажних автомобілів.
\n
\nВидаляє навіть дуже сильний бруд, залишаючись безпечним для кузова та лаку.
\n
\n&nbsp;
\n<h3><strong>Використання:</strong></h3>
\nЗалежно від ступеня забруднення, використовуйте робочий розчин препарату з концентрацією:
\n
\n• 5 - 10% миючого тиску (від 50 - 100 мл препарату на 1 л води)
\n
\n&nbsp;
\n
\n<strong>TRUCK URBAN  це дуже насичений концентрат</strong>
\n
\n<strong>Увага!</strong> Не допускати висихання засобу на чищеній поверхні.
\n
\nНе використовувати на розігрітих поверхнях.",,,taxable,,1,,,0,0,,,,,1,,,,"Автокосметика, Промисловість > Активні піни, Автокосметика > Зовнішнє прибирання > Активні піни та шампуні, Автокосметика > Зовнішнє прибирання, Промисловість","автокосметика, догляд за поверхнями, миття",,"https://www.pro-chem.com.ua/wp-content/uploads/2019/08/TRUCK-URBAN.jpg, https://www.pro-chem.com.ua/wp-content/uploads/2019/08/TRUCK-URBAN-1.jpg",,,,,"PC215, PC211, PC212","id:981, PC004, N287",,,0,Бренд,Pro-Chem,1,1,Об'єм,"1 л, 11 л, 22 л, 2х22 л, 7 л",1,1,0,0,enable,default,default,0,0,0,0,default,default,default,default,default,0,0,Документація,yes,"{""total"":126,""to_translate"":{""ru"":126}}",,default,default,default,1,TRUCK URBAN,40,90,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,
644,variation,PC021-11,TRUCK URBAN - 11 л,1,0,visible,,,,,taxable,parent,1,,,0,0,,,,,0,,,980.1,,,,https://www.pro-chem.com.ua/wp-content/uploads/2019/08/TRUCK-URBAN-1.jpg,,,PC021,,,"id:981, PC004, N287",,,2,Об'єм,11 л,,1,,,,,,,,,,,,,,,,,,,,1,,,"{""total"":12,""to_translate"":{""ru"":12}}",,,,,1,,,,,,1,truck-urban-11-%d0%bb,,,,,,,,,,,,,,,,,,,,,,,,,
645,variation,PC021-22,TRUCK URBAN - 22 л,1,0,visible,,,,,taxable,parent,1,,,0,0,,,,,0,,,1796.85,,,,https://www.pro-chem.com.ua/wp-content/uploads/2019/08/TRUCK-URBAN-1.jpg,,,PC021,,,"id:981, PC004, N287",,,3,Об'єм,22 л,,1,,,,,,,,,,,,,,,,,,,,1,,,"{""total"":12,""to_translate"":{""ru"":12}}",,,,,1,,,,,,1,truck-urban-22-%d0%bb,,,,,,,,,,,,,,,,,,,,,,,,,
646,variation,PC021-7,TRUCK URBAN - 7 л,1,0,visible,,,,,taxable,parent,1,,,0,0,,,,,0,,,645.98,,,,https://www.pro-chem.com.ua/wp-content/uploads/2019/08/TRUCK-URBAN-1.jpg,,,PC021,,,"id:981, PC004, N287",,,4,Об'єм,7 л,,1,,,,,,,,,,,,,,,,,,,,1,,,"{""total"":12,""to_translate"":{""ru"":12}}",,,,,1,,,,,,1,truck-urban-7-%d0%bb,,,,,,,,,,,,,,,,,,,,,,,,,
647,variation,PC021-1,TRUCK URBAN - 1 л,1,0,visible,,,,,taxable,parent,1,,,0,0,,,,,0,,,118.8,,,,https://www.pro-chem.com.ua/wp-content/uploads/2019/08/TRUCK-URBAN.jpg,,,PC021,,,"id:981, PC004, N287",,,5,Об'єм,1 л,,1,,,,,,,,,,,,,,,,,,,,1,,,"{""total"":12,""to_translate"":{""ru"":12}}",,,,,1,,,,,,1,truck-urban-1-%d0%bb,,,,,,,,,,,,,,,,,,,,,,,,,
648,variation,PC021-22-2,TRUCK URBAN - 2х22 л,1,0,visible,,,,,taxable,parent,1,,,0,0,,,,,0,,,3415.43,,,,https://www.pro-chem.com.ua/wp-content/uploads/2019/08/TRUCK-URBAN-1.jpg,,,PC021,,,"id:981, PC004, N287",,,0,Об'єм,2х22 л,,1,,,,,,,,,,,,,,,,,,,,1,,,"{""total"":12,""to_translate"":{""ru"":12}}",,,,,1,,,,,,1,truck-urban-2%d1%8522-%d0%bb,,,,,,,,,,,,,,,,,,,,,,,,,
649,variable,PC213,PURE PERFECTION,1,0,visible,"<strong>Активна піна для миття автомобілів</strong>
\nЕфективно видаляє дорожній бруд та інші забруднення, які виникають під час експлуатації транспортного засобу.
\nЗалишає делікатний блиск. Засіб призначений для митя під тиском із піноутворюючими пристроями або ж для ручного миття (pH = 12)","<strong>Надзвичайно ефективний концентрат для чистячого засобу, призначений для миття автомобілей.</strong>
\n
\nЗавдяки консистенції піни утворюється захисна плівка, що залишається на очищеній поверхні протягом дуже довгого часу. PURE PERFECTION ефективно видаляє дорожній бруд та інший забруднення, які виникають під час експлуатації транспортного засобу. Продукт залишає делікатний блиск.
\nЗасіб призначений для миття під тиском з піноутворюючими пристроями або ж вручну (<strong>рН = 13</strong>).
\n
\n<strong>Використання:</strong>
\n
\nКонцентрат потрібно змішувати з водою для одержання робочого розчину із потрібною концентрацією:
\n5 - 10% (50 - 100 мл препарату на 1 л води)
\nКонцентрація розчину залежить від ступеня забруднення транспортного засобу та методу очищення.
\nРозчин слід наносити на поверхню, після чого розтерти, залишити на 3 - 5 хвилин, а потім промити водою під високим тиском.
\n
\n<strong>Увага!</strong> Не допускати висихання засобу на чищеній поверхні. Не використовувати на розігрітих поверхнях.",,,taxable,,1,,,0,0,,,,,1,,,,"Автокосметика, Промисловість > Активні піни, Автокосметика > Зовнішнє прибирання > Активні піни та шампуні, Автокосметика > Зовнішнє прибирання, Промисловість","автокосметика, активна піна",,"https://www.pro-chem.com.ua/wp-content/uploads/2019/08/PURE-PERFECTION.jpg, https://www.pro-chem.com.ua/wp-content/uploads/2019/08/PURE-PERFECTION-1.jpg, https://www.pro-chem.com.ua/wp-content/uploads/2019/08/PURE-PERFECTION-2.jpg",,,,,"PC207, PC215, N275, N287","PC207, PC215, N275, N287",,,0,Бренд,Pro-Chem,1,1,Об'єм,"1 л, 1000 л, 11 л, 22 л, 220 л, 2х22 л, 66 л, 7 л",1,1,0,0,enable,default,default,0,0,0,0,default,default,default,default,default,0,0,Документація,yes,"{""total"":180,""to_translate"":{""ru"":180}}",,default,default,default,1,PURE PERFECTION,44,90,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,
653,variation,PC213-100,PURE PERFECTION - 1000 л,1,0,visible,,,,,taxable,parent,1,,,0,0,,,,,0,,,70537.5,,,,https://www.pro-chem.com.ua/wp-content/uploads/2019/08/PURE-PERFECTION-2.jpg,,,PC213,,,"PC207, PC215, N275, N287",,,1,Об'єм,1000 л,,1,,,,,,,,,,,,,,,,,,,,1,,,"{""total"":12,""to_translate"":{""ru"":12}}",,,,,1,,,,,,1,pure-perfection-1000-%d0%bb,,,,,,,,,,,,,,,,,,,,,,,,,
654,variation,PC213-11,PURE PERFECTION - 11 л,1,0,visible,,,,,taxable,parent,1,,,0,0,,,,,0,,,980.1,,,,https://www.pro-chem.com.ua/wp-content/uploads/2019/08/PURE-PERFECTION-1.jpg,,,PC213,,,"PC207, PC215, N275, N287",,,2,Об'єм,11 л,,1,,,,,,,,,,,,,,,,,,,,1,,,"{""total"":12,""to_translate"":{""ru"":12}}",,,,,1,,,,,,1,pure-perfection-11-%d0%bb,,,,,,,,,,,,,,,,,,,,,,,,,
655,variation,PC213-22,PURE PERFECTION - 22 л,1,0,visible,,,,,taxable,parent,1,,,0,0,,,,,0,,,1878.53,,,,https://www.pro-chem.com.ua/wp-content/uploads/2019/08/PURE-PERFECTION-1.jpg,,,PC213,,,"PC207, PC215, N275, N287",,,3,Об'єм,22 л,,1,,,,,,,,,,,,,,,,,,,,1,,,"{""total"":12,""to_translate"":{""ru"":12}}",,,,,1,,,,,,1,pure-perfection-22-%d0%bb,,,,,,,,,,,,,,,,,,,,,,,,,
656,variation,PC213-220,PURE PERFECTION - 220 л,1,0,visible,,,,,taxable,parent,1,,,0,0,,,,,0,,,16335,,,,https://www.pro-chem.com.ua/wp-content/uploads/2019/08/PURE-PERFECTION-2.jpg,,,PC213,,,"PC207, PC215, N275, N287",,,4,Об'єм,220 л,,1,,,,,,,,,,,,,,,,,,,,1,,,"{""total"":12,""to_translate"":{""ru"":12}}",,,,,1,,,,,,1,pure-perfection-220-%d0%bb,,,,,,,,,,,,,,,,,,,,,,,,,
657,variation,PC213-20-2,PURE PERFECTION - 2х22 л,1,0,visible,,,,,taxable,parent,1,,,0,0,,,,,0,,,3638.18,,,,https://www.pro-chem.com.ua/wp-content/uploads/2019/08/PURE-PERFECTION-1.jpg,,,PC213,,,"PC207, PC215, N275, N287",,,5,Об'єм,2х22 л,,1,,,,,,,,,,,,,,,,,,,,1,,,"{""total"":12,""to_translate"":{""ru"":12}}",,,,,1,,,,,,1,pure-perfection-2%d1%8522-%d0%bb,,,,,,,,,,,,,,,,,,,,,,,,,
658,variation,PC213-66,PURE PERFECTION - 66 л,1,0,visible,,,,,taxable,parent,1,,,0,0,,,,,0,,,5390.48,,,,https://www.pro-chem.com.ua/wp-content/uploads/2019/08/PURE-PERFECTION-1.jpg,,,PC213,,,"PC207, PC215, N275, N287",,,6,Об'єм,66 л,,1,,,,,,,,,,,,,,,,,,,,1,,,"{""total"":12,""to_translate"":{""ru"":12}}",,,,,1,,,,,,1,pure-perfection-66-%d0%bb,,,,,,,,,,,,,,,,,,,,,,,,,
659,variation,PC213-7,PURE PERFECTION - 7 л,1,0,visible,,,,,taxable,parent,1,,,0,0,,,,,0,,,645.98,,,,https://www.pro-chem.com.ua/wp-content/uploads/2019/08/PURE-PERFECTION-1.jpg,,,PC213,,,"PC207, PC215, N275, N287",,,7,Об'єм,7 л,,1,,,,,,,,,,,,,,,,,,,,1,,,"{""total"":12,""to_translate"":{""ru"":12}}",,,,,1,,,,,,1,pure-perfection-7-%d0%bb,,,,,,,,,,,,,,,,,,,,,,,,,
660,variation,PC213-1,PURE PERFECTION - 1 л,1,0,visible,,,,,taxable,parent,1,,,0,0,,,,,0,,,111.44,,,,https://www.pro-chem.com.ua/wp-content/uploads/2019/08/PURE-PERFECTION.jpg,,,PC213,,,"PC207, PC215, N275, N287",,,8,Об'єм,1 л,,1,,,,,,,,,,,,,,,,,,,,1,,,"{""total"":12,""to_translate"":{""ru"":12}}",,,,,1,,,,,,1,pure-perfection-1-%d0%bb,,,,,,,,,,,,,,,,,,,,,,,,,
662,variable,PC212,SHAMPOO ACTIV,1,0,visible,"<strong>Активний автомобільний шампунь</strong>
\n
\nКонцентрат мийного засобу, призначений для очищення легкових автомобілів. Завдяки сильній консистенції піна залишається на очищеній поверхні захисним шаром дуже довго.
\nЕфективно видаляє бруд та інші залишки, що виникають під час експлуатації транспортного засобу. Завдяки унікальній формулі, SHAMPOO ACTIV залишає ніжний блиск на кузові, не залишає смуг та розводів.
\nЗасіб для ручного миття та миття під тиском із піноутвоюючими пристроями (pH = 0).","Завдяки високій консистенції піни продукт залишається на очищеній поверхні дуже довго утворюючи захисну плівку. Ефективно видаляє дорожній бруд та інші забруднення, що утворюються під час експлуатації транспортного засобу. Завдяки своїй унікальній формулі, після користування продукт залишає ніжний блиск на кузові автомобіля. Не залишає смуг та розводів.
\n
\nНадзвичайно ефективний концентрат миючого засобу, призначений для очищення легкових автомобілів. Призначений для чищення із піноутворюючими пристроями та для ручного миття.
\n
\n&nbsp;
\n
\n<strong>Використання:</strong>
\n
\nПеред ручним миттям ретельно промити транспортний засіб водою, щоб видалити частинки піску, солі або інших домішок, які можуть перешкоджати очищенню або подряпати лаковий шар.
\n
\nПотім концентрат шампуню слід змішати із водою для одержання робочого розчину необхідної концентрації:
\n<ul>
\n 	<li>3 - 7% для миття під тиском (від 30 - 70 мл препарату на 1 л води) - залежно від ступеня забруднення</li>
\n 	<li>2% для ручного ручного миття (20 мл препарату на 1 л води)</li>
\n</ul>
\n&nbsp;
\n
\nУ випадку миття під тиском, розчин слід наносити на промиті поверхні піноутворювачем і залишити на 3 - 5 хвилин. Після чого слід ретельно промити водою під високим тиском.
\n
\nПри ручному очищенні розчин слід наносити за допомогою обприскувача або піни, промити губкою та змити чистою водою.
\n
\n&nbsp;
\n
\n<strong>Увага!</strong> Не допускати висихання засобу на чищеній поверхні. Не використовувати на розігрітих поверхнях.",,,taxable,,1,,,0,0,,,,,1,,,,"Автокосметика, Промисловість > Активні піни, Автокосметика > Зовнішнє прибирання > Активні піни та шампуні, Автокосметика > Зовнішнє прибирання, Промисловість","автокосметика, активна піна",,"https://www.pro-chem.com.ua/wp-content/uploads/2019/08/SHAMPOO-ACTIV.jpg, https://www.pro-chem.com.ua/wp-content/uploads/2019/08/SHAMPOO-ACTIV-1.jpg, https://www.pro-chem.com.ua/wp-content/uploads/2019/08/SHAMPOO-ACTIV-2.jpg",,,,,"PC207, PC215, N275, N287, KWAP2, id:985","PC207, PC215, KWAP2, id:985",,,0,Бренд,Pro-Chem,1,1,Об'єм,"1 л, 1000 л, 11 л, 22 л, 220 л, 2х22 л, 66 л, 7 л",1,1,0,0,enable,default,default,0,0,0,0,default,default,default,default,default,0,0,Документація,yes,"{""total"":274,""to_translate"":{""ru"":274}}",,default,default,default,1,SHAMPOO ACTIV,41,90,,,1,,2019-08-05,,,,,,,,,,,,,,,,,,,,,,,,
666,variation,PC212-1000,SHAMPOO ACTIV - 1000 л,1,0,visible,,,,,taxable,parent,1,,,0,0,,,,,0,,,77962.57,,,,https://www.pro-chem.com.ua/wp-content/uploads/2019/08/SHAMPOO-ACTIV-2.jpg,,,PC212,,,"PC207, PC215, KWAP2, id:985",,,0,Об'єм,1000 л,,1,,,,,,,,,,,,,,,,,,,,1,,,"{""total"":12,""to_translate"":{""ru"":12}}",,,,,1,,,,,,1,shampoo-activ-1000-%d0%bb,,,,,,,,,,,,,,,,,,,,,,,,,
667,variation,PC212-11,SHAMPOO ACTIV - 11 л,1,0,visible,,,,,taxable,parent,1,,,0,0,,,,,0,,,1061.78,,,,https://www.pro-chem.com.ua/wp-content/uploads/2019/08/SHAMPOO-ACTIV-1.jpg,,,PC212,,,"PC207, PC215, KWAP2, id:985",,,2,Об'єм,11 л,,1,,,,,,,,,,,,,,,,,,,,1,,,"{""total"":12,""to_translate"":{""ru"":12}}",,,,,1,,,,,,1,shampoo-activ-11-%d0%bb,,,,,,,,,,,,,,,,,,,,,,,,,
668,variation,PC212-22,SHAMPOO ACTIV - 22 л,1,0,visible,,,,,taxable,parent,1,,,0,0,,,,,0,,,2041.88,,,,https://www.pro-chem.com.ua/wp-content/uploads/2019/08/SHAMPOO-ACTIV-1.jpg,,,PC212,,,"PC207, PC215, KWAP2, id:985",,,3,Об'єм,22 л,,1,,,,,,,,,,,,,,,,,,,,1,,,"{""total"":12,""to_translate"":{""ru"":12}}",,,,,1,,,,,,1,shampoo-activ-22-%d0%bb,,,,,,,,,,,,,,,,,,,,,,,,,
669,variation,PC212-220,SHAMPOO ACTIV - 220 л,1,0,visible,,,,,taxable,parent,1,,,0,0,,,,,0,,,17968.5,,,,https://www.pro-chem.com.ua/wp-content/uploads/2019/08/SHAMPOO-ACTIV-2.jpg,,,PC212,,,"PC207, PC215, KWAP2, id:985",,,4,Об'єм,220 л,,1,,,,,,,,,,,,,,,,,,,,1,,,"{""total"":12,""to_translate"":{""ru"":12}}",,,,,1,,,,,,1,shampoo-activ-220-%d0%bb,,,,,,,,,,,,,,,,,,,,,,,,,
670,variation,PC212-22-2,SHAMPOO ACTIV - 2х22 л,1,0,visible,,,,,taxable,parent,1,,,0,0,,,,,0,,,3972.38,,,,https://www.pro-chem.com.ua/wp-content/uploads/2019/08/SHAMPOO-ACTIV-1.jpg,,,PC212,,,"PC207, PC215, KWAP2, id:985",,,5,Об'єм,2х22 л,,1,,,,,,,,,,,,,,,,,,,,1,,,"{""total"":12,""to_translate"":{""ru"":12}}",,,,,1,,,,,,1,shampoo-activ-2%d1%8522-%d0%bb,,,,,,,,,,,,,,,,,,,,,,,,,
671,variation,PC212-66,SHAMPOO ACTIV - 66 л,1,0,visible,,,,,taxable,parent,1,,,0,0,,,,,0,,,5880.6,,,,https://www.pro-chem.com.ua/wp-content/uploads/2019/08/SHAMPOO-ACTIV-2.jpg,,,PC212,,,"PC207, PC215, KWAP2, id:985",,,6,Об'єм,66 л,,1,,,,,,,,,,,,,,,,,,,,1,,,"{""total"":12,""to_translate"":{""ru"":12}}",,,,,1,,,,,,1,shampoo-activ-66-%d0%bb,,,,,,,,,,,,,,,,,,,,,,,,,
672,variation,PC212-7,SHAMPOO ACTIV - 7 л,1,0,visible,,,,,taxable,parent,1,,,0,0,,,,,0,,,705.44,,,,https://www.pro-chem.com.ua/wp-content/uploads/2019/08/SHAMPOO-ACTIV-1.jpg,,,PC212,,,"PC207, PC215, KWAP2, id:985",,,7,Об'єм,7 л,,1,,,,,,,,,,,,,,,,,,,,1,,,"{""total"":12,""to_translate"":{""ru"":12}}",,,,,1,,,,,,1,shampoo-activ-7-%d0%bb,,,,,,,,,,,,,,,,,,,,,,,,,
673,variation,PC212-1,SHAMPOO ACTIV - 1 л,1,0,visible,,,,,taxable,parent,1,,,0,0,,,,,0,,,118.8,,,,https://www.pro-chem.com.ua/wp-content/uploads/2019/08/SHAMPOO-ACTIV.jpg,,,PC212,,,"PC207, PC215, KWAP2, id:985",,,8,Об'єм,1 л,,1,,,,,,,,,,,,,,,,,,,,1,,,"{""total"":12,""to_translate"":{""ru"":12}}",,,,,1,,,,,,1,shampoo-activ-1-%d0%bb,,,,,,,,,,,,,,,,,,,,,,,,,
674,simple,PC301,AGRO,1,0,visible,"<strong>Активна піна для миття сільськогосподарської техніки</strong>
\nКонцентрат миючого засобу, призначений для миття сільськогосподарської техніки.","<strong>AGRO</strong>  - концентрат для миття сільськогосподарської техніки. Завдяки консистенції піни довго залишається на очищеній поверхні. Ефективно видаляє бруд та інші забруднення, що утворюються під час експлуатації. Надає чіткий блиск. Продукт призначений для миття  піноутворюючими пристроями та для ручного миття.
\n
\nЗавдяки низькій лужності (pH = 9) препарат є надзвичайно безпечним для очищених поверхонь, а додавання інгібітора корозії <strong>захищає металеві елементи та запобігає утворенню іржі</strong>. Крім того, приємний та інтенсивний аромат гарантує, що кожне миття стає надзвичайно приємним досвідом.
\n
\n<strong>Використання:</strong>
\n
\nЗалежно від виду промивання та ступеня забруднення використовують розчин препарату у відношенні:
\n
\n1:20 - 1:100 -  для миття під тиском (від 50 до 100 мл препарату для 1 л води)
\n
\n1:50 -  для ручного миття (від 20 мл препарату до 1 л води)
\n
\nНанесіть розчин на поверхню, яку потрібно очистити та залиште на 3 - 5 хв, потім змийте водою під високим тиском.
\n
\n<strong>Увага!</strong> Не використовуйте на гарячій поверхні.",,,taxable,,1,,,0,0,,,,,1,,,1558.91,"Cільське господарство, Промисловість > Миття транспорту, Промисловість",,,https://www.pro-chem.com.ua/wp-content/uploads/2019/08/AGRO.jpg,,,,,,,,,0,Бренд,Pro-Chem,1,1,Об'єм,10 л,1,1,0,0,enable,default,default,0,0,0,0,default,default,default,default,default,0,0,Product Documents,no,"{""total"":168,""to_translate"":{""ru"":168}}",,default,default,default,1,,,90,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,
677,simple,PC023,LATEX,1,0,visible,Препарат ди видалення латексу,Препарат ди видалення латексу,,,taxable,,1,,,0,0,,,,,1,,,2017.37,"Промисловість > Миття транспорту, Промисловість",,,https://www.pro-chem.com.ua/wp-content/uploads/2019/08/logo-1.png,,,,,,,,,0,Бренд,Pro-Chem,1,1,Об'єм,20 л,1,1,0,0,enable,default,default,0,0,0,0,default,default,default,default,default,0,0,Product Documents,no,"{""total"":18,""to_translate"":{""ru"":18}}",,default,default,default,0,,,60,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,
678,variable,PC006,ALU EXPERT,1,0,visible,"<strong>Засіб для чищення поверхонь із алюмінію та інших металів</strong>
\nХімічний очисний агент, призначений головним чином для очищення поверхонь, виконаних з алюмінію та його сплавів.
\nТакож може використовуватись для очищення поверхонь із інших металів. видаляє всі продукти корозії і будь-які вапнякові відкладення, утворені при використанні жорсткої води.","<strong>ALU EXPERT</strong> - це кислотний миючий засіб призначений в першу чергу для очищення поверхонь з алюмінію і його сплавів. Також, він також може використовуватися для очищення поверхонь від інших металів. Ідеально знімає всі корозійні та вапняні відкладення на металевих поверхнях.
\n
\nЗасіб може використовуватися для чищення, зокрема:
\n<ul>
\n 	<li>елементи транспортних засобів</li>
\n 	<li>будівельні машини та інструменти (бруд з цементу, розчинів, клею для плитки та ін.)</li>
\n 	<li>транспортні засоби, що транспортують бетон</li>
\n</ul>
\n&nbsp;
\n
\n<strong>Використання:</strong>
\n
\nКонцентрат потрібно розвести холодною водою у відношенні:
\n<ul>
\n 	<li>1: 4 - 1:10 найбільш часто використовуваний робочий розчин</li>
\n 	<li>1: 1, або концентрат - дуже велике забруднення навколишнього середовища (в таких випадках особливу обережність)</li>
\n</ul>
\nПісля чищення, поверхні слід промити водою, щоб запобігти повторній корозії.
\n
\n&nbsp;
\n
\n<strong>Увага!</strong> Не використовувати на склі та пофарбованих деталях.",,,taxable,,1,,,0,0,,,,,1,,,,"Промисловість > Миття бетонних поверхонь, Промисловість > Очищення алюмінію, Промисловість","алюміній, догляд за поверхнями, миття",,"https://www.pro-chem.com.ua/wp-content/uploads/2019/08/ALU-EXPERT.jpg, https://www.pro-chem.com.ua/wp-content/uploads/2019/08/ALU-EXPERT-1.jpg",,,,,"PC002, FOR05, PC019","N262, KWAR",,,0,Бренд,Pro-Chem,1,1,Об'єм,"1 л, 10 л, 20 л, 200 л, 2x20 л, 6 л, 60 л",1,1,0,0,enable,default,default,0,0,0,0,default,default,default,default,default,0,0,Документація,yes,"{""total"":178,""to_translate"":{""ru"":178}}",,default,default,default,0,ALU EXPERT,48,90,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,
